ts,AOI_Control_Loop_Flow_Eq_Feed_Tank.LIT_30_01,AOI_Control_Loop_Flow_Eq_Feed_Tank.SP_Level_Flow_Eq_Tank,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZC_30_03,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.Sts_Auto,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range_SCADA_Reset,AOI_Control_Loop_Flow_Eq_Feed_Tank.ATS_1_Utility_Power
2024-06-13 09:18:59,15.71220588684082,15.0,False,99.60094451904297,False,True,True,False,True,False,True
2024-06-13 09:19:02,15.762937545776367,15.0,False,99.51905822753906,False,True,True,False,True,False,True
2024-06-13 09:19:04,15.850970268249512,15.0,False,99.39669036865234,False,True,True,False,True,False,True
2024-06-13 09:19:07,16.13364601135254,15.0,False,99.07032012939453,False,True,True,False,True,False,True
2024-06-13 09:19:09,16.740041732788086,15.0,False,98.67720794677734,False,True,True,False,True,False,True
2024-06-13 09:19:12,16.740041732788086,15.0,False,98.3382568359375,False,True,True,False,True,False,True
2024-06-13 09:19:14,16.75230598449707,15.0,False,98.25313568115234,False,True,True,False,True,False,True
2024-06-13 09:19:17,17.187381744384766,15.0,False,97.73236083984375,False,True,True,False,True,False,True
2024-06-13 09:19:19,17.531614303588867,15.0,False,97.28694915771484,False,True,True,False,True,False,True
2024-06-13 09:19:22,17.339345932006836,15.0,False,97.35826110839844,False,True,True,False,True,False,True
2024-06-13 09:19:24,17.69930076599121,15.0,False,96.89034271240234,False,True,True,False,True,False,True
2024-06-13 09:19:27,17.84619903564453,15.0,False,96.6266860961914,False,True,True,False,True,False,True
2024-06-13 09:19:29,17.91459083557129,15.0,False,96.43769073486328,False,True,True,False,True,False,True
2024-06-13 09:19:32,18.234275817871094,15.0,False,95.98723602294922,False,True,True,False,True,False,True
2024-06-13 09:19:35,18.458412170410156,15.0,False,95.62178802490234,False,True,True,False,True,False,True
2024-06-13 09:19:37,18.559831619262695,15.0,False,95.37330627441406,False,True,True,False,True,False,True
2024-06-13 09:19:40,18.958919525146484,15.0,False,94.81426239013672,False,True,True,False,True,False,True
2024-06-13 09:19:42,19.153308868408203,15.0,False,94.44924926757812,False,True,True,False,True,False,True
2024-06-13 09:19:45,18.771909713745117,15.0,False,94.66871643066406,False,True,True,False,True,False,True
2024-06-13 09:19:47,19.310447692871094,15.0,False,93.95731353759766,False,True,True,False,True,False,True
2024-06-13 09:19:50,19.497451782226562,15.0,False,93.58525848388672,False,True,True,False,True,False,True
2024-06-13 09:19:52,19.628971099853516,15.0,False,93.26252746582031,False,True,True,False,True,False,True
2024-06-13 09:19:55,20.061378479003906,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:19:57,20.54387855529785,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:01,20.359539031982422,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:03,20.810230255126953,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:05,21.009498596191406,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:07,21.02743911743164,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:10,21.02743911743164,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:12,21.301898956298828,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:14,21.058780670166016,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:17,21.325870513916016,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:19,20.8279972076416,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:22,21.106372833251953,15.0,False,74.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:24,21.072528839111328,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:27,20.84965705871582,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:29,21.454177856445312,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:32,21.06771469116211,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:35,21.18317985534668,15.0,False,64.57915496826172,False,True,True,False,True,False,True
