ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:53:18,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:53:20,200.0,3.5,0.0,16.0,True,100.0,False,False,False,True,False
2024-06-19 16:53:23,200.0,3.5,0.1195690780878067,14.709137916564941,True,100.0,False,False,False,True,False
2024-06-19 16:53:25,200.0,3.5,13.437837600708008,15.329429626464844,True,99.48932647705078,False,False,False,True,False
2024-06-19 16:53:28,200.0,3.5,19.60683822631836,15.691367149353027,True,98.90119171142578,False,False,False,True,False
2024-06-19 16:53:30,200.0,3.5,26.712621688842773,15.840547561645508,True,98.4216079711914,False,False,False,True,False
2024-06-19 16:53:34,200.0,3.5,33.4588508605957,15.628425598144531,True,96.6565933227539,False,False,False,True,False
2024-06-19 16:53:36,200.0,3.5,40.24764633178711,16.45940399169922,True,95.9842758178711,False,False,False,True,False
2024-06-19 16:53:38,200.0,3.5,46.453453063964844,16.01224136352539,True,95.27302551269531,False,False,False,True,False
2024-06-19 16:53:41,200.0,3.5,53.431880950927734,15.796075820922852,True,95.91278839111328,False,False,False,True,False
2024-06-19 16:53:43,200.0,3.5,60.256778717041016,15.661989212036133,True,95.13069915771484,False,False,False,True,False
2024-06-19 16:53:46,200.0,3.5,66.48860931396484,15.547688484191895,True,94.35083770751953,False,False,False,True,False
2024-06-19 16:53:48,200.0,3.5,73.31010437011719,15.917824745178223,True,93.66336059570312,False,False,False,True,False
2024-06-19 16:53:51,200.0,3.5,79.93508911132812,15.216353416442871,True,91.60758209228516,False,False,False,True,False
